,format
880,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/vaccinium-myrtilloides-13-1.jpg,162,318,423,459,Blueberry-leaf"
881,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/vaccinium-myrtilloides-13-1.jpg,308,375,512,487,Blueberry-leaf"
882,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/vaccinium-myrtilloides-13-1.jpg,504,240,602,397,Blueberry-leaf"
883,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/vaccinium-myrtilloides-13-1.jpg,530,323,647,540,Blueberry-leaf"
884,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/vaccinium-myrtilloides-13-1.jpg,582,186,710,377,Blueberry-leaf"
885,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/stock-photo-peach-wet-fruit-with-leaf-isolated-on-white-248733745.jpg,254,128,409,355,Peach-leaf"
886,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/stock-photo-peach-wet-fruit-with-leaf-isolated-on-white-248733745.jpg,258,88,431,162,Peach-leaf"
887,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/stock-photo-peach-with-leaves-isolated-on-white-246532954.jpg,54,338,744,795,Peach-leaf"
888,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/stock-photo-peach-with-leaves-isolated-on-white-246532954.jpg,306,177,772,482,Peach-leaf"
889,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/tomato_virus_06_zoom.jpg,1,268,339,425,Tomato-leaf-mosaic-virus"
890,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/tomato_virus_06_zoom.jpg,390,50,511,270,Tomato-leaf-mosaic-virus"
891,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/tomato_virus_06_zoom.jpg,673,291,857,534,Tomato-leaf-mosaic-virus"
892,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/tomato_virus_06_zoom.jpg,432,315,640,637,Tomato-leaf-mosaic-virus"
893,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/tomato_V8.jpg,9,5,226,139,Tomato-Septoria-leaf-spot"
894,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/tomato_V8.jpg,9,121,344,256,Tomato-Septoria-leaf-spot"
895,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/soybean-leaf-single.jpg,175,124,369,383,Soyabean-leaf"
896,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/soybean-leaf-single.jpg,352,50,616,241,Soyabean-leaf"
897,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/soybean-leaf-single.jpg,74,3,330,184,Soyabean-leaf"
898,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/web1_copy_tomato-septoria-leaf-spot4.jpg,59,60,614,470,Tomato-Septoria-leaf-spot"
899,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/stock-photo-leaf-blueberry-57690040.jpg,83,174,253,299,Blueberry-leaf"
900,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/stock-photo-leaf-blueberry-57690040.jpg,228,180,306,322,Blueberry-leaf"
901,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/stock-photo-leaf-blueberry-57690040.jpg,291,118,395,256,Blueberry-leaf"
902,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/stock-photo-leaf-blueberry-57690040.jpg,327,93,429,164,Blueberry-leaf"
903,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/stock-photo-leaf-blueberry-57690040.jpg,247,74,298,164,Blueberry-leaf"
904,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/southern-rust-close.jpg,20,1,2848,4272,Corn-rust-leaf"
905,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/stock-photo-peach-leaf-isolated-363604259.jpg,129,109,637,525,Peach-leaf"
906,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/stock-photo-peach-leaf-isolated-363604259.jpg,36,554,708,791,Peach-leaf"
907,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/stock-photo-peach-leaf-isolated-363604259.jpg,933,612,1392,994,Peach-leaf"
908,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/stock-photo-peach-leaf-isolated-363604259.jpg,633,713,929,1121,Peach-leaf"
909,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/stock-photo-peach-leaf-isolated-363604259.jpg,734,1050,1323,1349,Peach-leaf"
910,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/stock-photo-peach-leaf-isolated-363604259.jpg,825,1212,1413,1405,Peach-leaf"
911,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/stock-photo-peach-leaf-isolated-363604259.jpg,218,881,621,1215,Peach-leaf"
912,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/stock-photo-peach-leaf-isolated-363604259.jpg,58,1036,560,1262,Peach-leaf"
913,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/stock-photo-peach-leaf-isolated-363604259.jpg,95,1200,658,1392,Peach-leaf"
914,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/stock-photo-peach-leaf-isolated-363604259.jpg,718,25,1016,570,Peach-leaf"
915,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/stock-photo-peach-leaf-isolated-363604259.jpg,749,173,1263,562,Peach-leaf"
916,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/stock-photo-peach-leaf-isolated-363604259.jpg,807,309,1397,565,Peach-leaf"
917,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/woman-cutting-off-yellow-summer-squash-leaves-with-powdery-mildew-eef3dd.jpg,16,29,321,409,Squash-Powdery-mildew-leaf"
918,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/wur-late-blight-in-potato-809.jpg,475,48,668,206,Potato-leaf-late-blight"
919,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/wur-late-blight-in-potato-809.jpg,653,345,782,440,Potato-leaf-late-blight"
920,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/wur-late-blight-in-potato-809.jpg,328,155,426,260,Potato-leaf-late-blight"
921,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/wur-late-blight-in-potato-809.jpg,431,17,519,121,Potato-leaf-late-blight"
922,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/stock-photo-fresh-green-strawberry-leaf-isolated-on-white-background-strawberry-leaf-with-clipping-path-630981155.jpg,153,7,307,237,Strawberry-leaf"
923,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/stock-photo-fresh-green-strawberry-leaf-isolated-on-white-background-strawberry-leaf-with-clipping-path-630981155.jpg,237,161,441,369,Strawberry-leaf"
924,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/stock-photo-fresh-green-strawberry-leaf-isolated-on-white-background-strawberry-leaf-with-clipping-path-630981155.jpg,7,191,235,363,Strawberry-leaf"
925,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/stock-photo-strawberry-leaf-isolated-on-white-background-572055775.jpg,195,150,409,294,Strawberry-leaf"
926,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/stock-photo-strawberry-leaf-isolated-on-white-background-572055775.jpg,65,156,247,359,Strawberry-leaf"
927,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/stock-photo-strawberry-leaf-isolated-on-white-background-572055775.jpg,148,33,326,207,Strawberry-leaf"
928,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/tomato_Leaf-roll-physiological-7059-SLoewen_thm.jpg,76,22,111,75,Tomato-mold-leaf"
929,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/tomato_Leaf-roll-physiological-7059-SLoewen_thm.jpg,22,20,50,80,Tomato-mold-leaf"
930,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/stock-photo-peach-fruit-isolated-on-white-332799767.jpg,177,42,415,123,Peach-leaf"
931,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/stock-photo-peach-fruit-isolated-on-white-332799767.jpg,177,92,426,219,Peach-leaf"
932,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/stock-photo-green-soybeans-leaf-on-white-background-450572512.jpg,12,140,237,249,Soyabean-leaf"
933,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/stock-photo-green-soybeans-leaf-on-white-background-450572512.jpg,223,156,344,265,Soyabean-leaf"
934,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/stock-photo-green-soybeans-leaf-on-white-background-450572512.jpg,92,76,285,166,Soyabean-leaf"
935,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/stock-photo-green-soybeans-leaf-on-white-background-450572512.jpg,199,22,293,107,Soyabean-leaf"
936,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/stock-photo-two-peach-leaves-isolated-on-white-311533217.jpg,75,31,308,341,Peach-leaf"
937,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/stock-photo-two-peach-leaves-isolated-on-white-311533217.jpg,174,58,322,434,Peach-leaf"
938,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/tomato-leaf-mold.jpg,1,1,150,139,Tomato-mold-leaf"
939,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/tomato-late-blight-phytophthora-infestans-on-tomato-leaves-a15ym0.jpg,63,27,194,157,Tomato-leaf-late-blight"
940,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/tomato-late-blight-phytophthora-infestans-on-tomato-leaves-a15ym0.jpg,372,337,496,441,Tomato-leaf-late-blight"
941,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/tomato-late-blight-phytophthora-infestans-on-tomato-leaves-a15ym0.jpg,166,257,412,412,Tomato-leaf-late-blight"
942,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/tomato-late-blight-phytophthora-infestans-on-tomato-leaves-a15ym0.jpg,96,150,224,261,Tomato-leaf-late-blight"
943,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/tomato-late-blight-phytophthora-infestans-on-tomato-leaves-a15ym0.jpg,292,86,559,312,Tomato-leaf-late-blight"
944,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/tomato-leaf-spot-septoria-lycopersici-leaf-spotting-on-tomato-at9jap.jpg,107,101,354,497,Tomato-Septoria-leaf-spot"
945,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/tomato-leaves-17427786.jpg,304,319,736,580,Tomato-leaf"
946,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/tomato-leaves-17427786.jpg,424,716,751,984,Tomato-leaf"
947,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/tomato-leaves-17427786.jpg,61,684,423,1004,Tomato-leaf"
948,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/tomato-leaves-17427786.jpg,182,36,426,367,Tomato-leaf"
949,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/tomato-leaves-17427786.jpg,544,101,880,326,Tomato-leaf"
950,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/tomato-leaves-17427786.jpg,880,43,1256,319,Tomato-leaf"
951,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/tomato-leaves-17427786.jpg,924,435,1173,860,Tomato-leaf"
952,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/stock-photo-fresh-soy-leaves-isolated-on-white-93841699.jpg,226,150,368,273,Soyabean-leaf"
953,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/stock-photo-fresh-soy-leaves-isolated-on-white-93841699.jpg,123,248,237,417,Soyabean-leaf"
954,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/stock-photo-fresh-soy-leaves-isolated-on-white-93841699.jpg,98,71,205,193,Soyabean-leaf"
955,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/stock-photo-fresh-soy-leaves-isolated-on-white-93841699.jpg,105,28,213,80,Soyabean-leaf"
956,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/stock-photo-fresh-soy-leaves-isolated-on-white-93841699.jpg,61,73,112,188,Soyabean-leaf"
957,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/strawberry-leaves-close-up.jpg,1408,313,2692,1985,Strawberry-leaf"
958,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/strawberry-leaves-close-up.jpg,514,1763,2442,2747,Strawberry-leaf"
959,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/strawberry-leaves-close-up.jpg,2375,1608,3692,2663,Strawberry-leaf"
960,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/strawberry-leaves-close-up.jpg,2847,819,3808,1813,Strawberry-leaf"
961,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/strawberry-leaves-close-up.jpg,3653,1569,4597,2547,Strawberry-leaf"
962,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/tomato-leaf-26180166.jpg,730,527,1216,875,Tomato-leaf"
963,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/tomato-leaf-26180166.jpg,602,332,873,605,Tomato-leaf"
964,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/tomato-leaf-26180166.jpg,414,582,705,904,Tomato-leaf"
965,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/tomato-leaf-26180166.jpg,339,90,661,415,Tomato-leaf"
966,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/tomato-leaf-26180166.jpg,135,414,401,710,Tomato-leaf"
967,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/tomato-leaf-26180166.jpg,232,71,419,226,Tomato-leaf"
968,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/tomato-leaf-26180166.jpg,57,223,210,413,Tomato-leaf"
969,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/tomato_late-blight_03_zoom.jpg,253,16,704,637,Tomato-leaf-late-blight"
970,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/xKh6iInh.jpg,346,421,624,768,Bell_pepper-leaf"
971,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/xKh6iInh.jpg,2,127,413,380,Bell_pepper-leaf"
972,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/xKh6iInh.jpg,450,1,619,254,Bell_pepper-leaf"
973,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/xKh6iInh.jpg,524,225,991,455,Bell_pepper-leaf"
974,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/tylc.jpg,504,168,590,293,Tomato-mold-leaf"
975,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/tylc.jpg,38,102,163,190,Tomato-mold-leaf"
976,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/tylc.jpg,165,135,310,212,Tomato-mold-leaf"
977,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/tylc.jpg,120,37,237,162,Tomato-mold-leaf"
978,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/tylc.jpg,478,3,619,139,Tomato-mold-leaf"
979,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/tomato-disease-septoria-leaf-spot-d7e1xm.jpg,311,39,443,204,Tomato-Septoria-leaf-spot"
980,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/tomato-disease-septoria-leaf-spot-d7e1xm.jpg,20,92,93,247,Tomato-Septoria-leaf-spot"
981,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/tomato-disease-septoria-leaf-spot-d7e1xm.jpg,199,45,277,193,Tomato-Septoria-leaf-spot"
982,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/tomato-disease-septoria-leaf-spot-d7e1xm.jpg,262,80,371,303,Tomato-Septoria-leaf-spot"
983,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/tomato-disease-septoria-leaf-spot-d7e1xm.jpg,126,65,254,301,Tomato-Septoria-leaf-spot"
984,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/symptoms_of_late_blight.jpg2__0.jpg,1,9,1415,1073,Tomato-leaf-late-blight"
985,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/strawberryleaves-notpi.jpg,612,1127,1296,1824,Strawberry-leaf"
986,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/strawberryleaves-notpi.jpg,754,698,1315,1173,Strawberry-leaf"
987,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/strawberryleaves-notpi.jpg,1260,1044,1792,1731,Strawberry-leaf"
988,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/strawberryleaves-notpi.jpg,2025,357,2854,950,Strawberry-leaf"
989,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/strawberryleaves-notpi.jpg,1376,427,2076,973,Strawberry-leaf"
990,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/strawberryleaves-notpi.jpg,1892,1,2556,502,Strawberry-leaf"
991,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/strawberryleaves-notpi.jpg,2512,760,3031,1208,Strawberry-leaf"
992,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/strawberryleaves-notpi.jpg,2338,1124,2867,1566,Strawberry-leaf"
993,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/strawberryleaves-notpi.jpg,2176,863,2570,1176,Strawberry-leaf"
994,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/strawberryleaves-notpi.jpg,934,1744,1602,2292,Strawberry-leaf"
995,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/strawberryleaves-notpi.jpg,322,1831,834,2292,Strawberry-leaf"
996,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/strawberryleaves-notpi.jpg,315,1489,773,1876,Strawberry-leaf"
997,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/strawberryleaves-notpi.jpg,709,1740,1147,2173,Strawberry-leaf"
998,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/strawberryleaves-notpi.jpg,1367,1544,2012,2266,Strawberry-leaf"
999,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/tomato-late-blight-phytophthora-infestans-necrosis-sporulation-on-a-tomato-leaf-underside-XA233C.jpg,174,171,1206,1030,Tomato-leaf-late-blight"
1000,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/tomato-blight-phytophthora-infestans-early-stages-on-tomato-plant-b5n952.jpg,109,102,182,217,Tomato-Early-blight-leaf"
1001,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/tomato-blight-phytophthora-infestans-early-stages-on-tomato-plant-b5n952.jpg,257,332,325,459,Tomato-Early-blight-leaf"
1002,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/tomato-blight-phytophthora-infestans-early-stages-on-tomato-plant-b5n952.jpg,1,306,143,388,Tomato-Early-blight-leaf"
1003,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/tomato-blight-phytophthora-infestans-early-stages-on-tomato-plant-b5n952.jpg,164,281,250,374,Tomato-Early-blight-leaf"
1004,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/tomato-blight-phytophthora-infestans-early-stages-on-tomato-plant-b5n952.jpg,1,37,86,113,Tomato-Early-blight-leaf"
1005,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/tomato-blight-soil-treatment-early-tomato-blight-in-a-microcosm-lower-leaves-curl-up-and-die-bulls-eye-lesions-tomato-fungus-soil-treatment.jpg,584,317,1020,571,Tomato-Early-blight-leaf"
1006,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/tomato-blight-soil-treatment-early-tomato-blight-in-a-microcosm-lower-leaves-curl-up-and-die-bulls-eye-lesions-tomato-fungus-soil-treatment.jpg,298,221,454,570,Tomato-Early-blight-leaf"
1007,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/tomatodisease001sm.jpg,76,172,163,312,Tomato-leaf-mosaic-virus"
1008,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/tomatodisease001sm.jpg,191,176,332,310,Tomato-leaf-mosaic-virus"
1009,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/tomatodisease001sm.jpg,394,287,480,359,Tomato-leaf-mosaic-virus"
1010,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/tomatodisease001sm.jpg,423,298,555,467,Tomato-leaf-mosaic-virus"
1011,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/tomatodisease001sm.jpg,541,301,682,466,Tomato-leaf-mosaic-virus"
1012,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/tomatodisease001sm.jpg,424,188,488,247,Tomato-leaf-mosaic-virus"
1013,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/tomatodisease001sm.jpg,401,31,521,145,Tomato-leaf-mosaic-virus"
1014,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/tomatodisease001sm.jpg,528,127,625,205,Tomato-leaf-mosaic-virus"
1015,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/tomato-blight-phytophthora-infestans-close-up-of-infected-leaf-b5n95x.jpg,36,80,319,506,Tomato-leaf-late-blight"
1016,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/stock-photo-rust-disease-in-corn-field-119923045.jpg,4,2,1497,998,Corn-rust-leaf"
1017,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/tomato-late-blight-conn-2015-137c.jpg,25,44,1709,1164,Tomato-leaf-late-blight"
1018,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/stock-photo-apple-leaf-damaged-by-apple-rust-mite-a-common-arthropod-in-european-apple-orchards-galls-698959369.jpg,191,106,429,244,Apple-rust-leaf"
1019,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/stock-photo-peach-leaves-isolated-on-white-background-298277570.jpg,88,84,419,575,Peach-leaf"
1020,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/stock-photo-peach-leaves-isolated-on-white-background-298277570.jpg,65,524,421,1001,Peach-leaf"
1021,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/stock-photo-peach-leaves-isolated-on-white-background-298277570.jpg,389,594,880,800,Peach-leaf"
1022,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/stock-photo-peach-leaves-isolated-on-white-background-298277570.jpg,378,771,604,1025,Peach-leaf"
1023,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/stock-photo-peach-leaves-isolated-on-white-background-298277570.jpg,541,754,860,946,Peach-leaf"
1024,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/stock-photo-peach-leaves-isolated-on-white-background-298277570.jpg,955,517,1434,920,Peach-leaf"
1025,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/stock-photo-peach-leaves-isolated-on-white-background-298277570.jpg,828,714,1384,940,Peach-leaf"
1026,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/stock-photo-peach-leaves-isolated-on-white-background-298277570.jpg,930,35,1437,266,Peach-leaf"
1027,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/stock-photo-peach-leaves-isolated-on-white-background-298277570.jpg,806,175,1091,319,Peach-leaf"
1028,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/stock-photo-peach-leaves-isolated-on-white-background-298277570.jpg,951,205,1390,366,Peach-leaf"
1029,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/stock-photo-peach-leaves-isolated-on-white-background-298277570.jpg,343,108,873,431,Peach-leaf"
1030,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/stock-photo-peach-leaves-isolated-on-white-background-298277570.jpg,377,320,959,508,Peach-leaf"
1031,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/web1_copy_early-blight-6-_0.jpg,200,57,590,373,Tomato-Early-blight-leaf"
1032,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/strawberry-leaves-14363903.jpg,392,318,1023,917,Strawberry-leaf"
1033,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/strawberry-leaves-14363903.jpg,230,53,561,457,Strawberry-leaf"
1034,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/strawberry-leaves-14363903.jpg,156,390,416,862,Strawberry-leaf"
1035,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/tomato-septoria-leaf-spot-600.jpg,10,45,278,478,Tomato-Septoria-leaf-spot"
1036,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/strawberry-leaf-stock-image-3663564.jpg,151,237,615,723,Strawberry-leaf"
1037,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/strawberry-leaf-stock-image-3663564.jpg,618,313,1014,847,Strawberry-leaf"
1038,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/strawberry-leaf-stock-image-3663564.jpg,621,38,1137,357,Strawberry-leaf"
